Gene_rnaSeq	Gene	Type
NKG7	NKG7	T Cells/NK T Cells
CD3E	CD3	T Cells
CD4	CD4	T Cells
FOXP3	FOXP3	T regs
SELL	CD62L	T Cells
FAS	FAS	T Cells
CD8A	CD8	T Cells
CTLA4	CTLA4	T Cells
NCAM1	CD56	NK Cells
KLRF1	KLRF1	NK Cells
CD34	CD34	Progenitor
CD14	CD14	Monocytes
FCGR3A	CD16	Monocytes
ITGAM	CD11b	Monocytes
CLEC9A	CLEC9A	Dendritic Cells
CD1C	CD1C	Dendritic Cells
LILRA4	LILRA4	pDCs
HBA1	HBA	Erythrocytes
HBB	HBB	Erythrocytes
PF4	PF4	Platelet
TPSAB1	TPSAB1	MAST
KIT	CD117	MAST
CD19	CD19	B Cells
MS4A1	CD20	B Cells
LEF1	LEF1	T Cells
